Robot: 1,,,
Comentarios: S/C,,,
"xmin, xmax, ymin, ymax","(0.0,10.0,0.0,10.0)",,
========================,,,
Checkpoint,Hora,Sensor,Valor
"CK:1 (2.6,0.1)",11:05:56,CO2 (PPM),559
"CK:1 (2.6,0.1)",11:05:56,TEMPERATURA (°C),25.52
"CK:1 (2.6,0.1)",11:05:56,HUMEDAD (%),55.51
"CK:1 (2.6,0.1)",11:05:56,IRRADIANCIA (W/M2),767.4
"CK:1 (2.6,0.1)",11:05:56,eCO2 (PPM),400
"CK:1 (2.6,0.1)",11:05:56,TVOC (PPB),0
"CK:1 (2.6,0.1)",11:06:21,CO2 (PPM),561
"CK:1 (2.6,0.1)",11:06:21,TEMPERATURA (°C),25.52
"CK:1 (2.6,0.1)",11:06:21,HUMEDAD (%),55.48
"CK:1 (2.6,0.1)",11:06:21,IRRADIANCIA (W/M2),767.4
"CK:1 (2.6,0.1)",11:06:21,eCO2 (PPM),400
"CK:1 (2.6,0.1)",11:06:21,TVOC (PPB),0
"CK:2 (0.2,5.0)",11:08:13,CO2 (PPM),553
"CK:2 (0.2,5.0)",11:08:13,TEMPERATURA (°C),25.62
"CK:2 (0.2,5.0)",11:08:13,HUMEDAD (%),55.09
"CK:2 (0.2,5.0)",11:08:13,IRRADIANCIA (W/M2),767.4
"CK:2 (0.2,5.0)",11:08:13,eCO2 (PPM),400
"CK:2 (0.2,5.0)",11:08:13,TVOC (PPB),0
"CK:2 (0.2,5.0)",11:08:27,CO2 (PPM),540
"CK:2 (0.2,5.0)",11:08:27,TEMPERATURA (°C),25.62
"CK:2 (0.2,5.0)",11:08:27,HUMEDAD (%),55
"CK:2 (0.2,5.0)",11:08:27,IRRADIANCIA (W/M2),767.4
"CK:2 (0.2,5.0)",11:08:27,eCO2 (PPM),400
"CK:2 (0.2,5.0)",11:08:27,TVOC (PPB),0
"CK:3 (5.0,9.0)",11:09:11,CO2 (PPM),544
"CK:3 (5.0,9.0)",11:09:11,TEMPERATURA (°C),25.69
"CK:3 (5.0,9.0)",11:09:11,HUMEDAD (%),54.96
"CK:3 (5.0,9.0)",11:09:11,IRRADIANCIA (W/M2),767.4
"CK:3 (5.0,9.0)",11:09:11,eCO2 (PPM),429
"CK:3 (5.0,9.0)",11:09:11,TVOC (PPB),0
"CK:3 (5.0,9.0)",11:09:25,CO2 (PPM),542
"CK:3 (5.0,9.0)",11:09:25,TEMPERATURA (°C),25.7
"CK:3 (5.0,9.0)",11:09:25,HUMEDAD (%),54.91
"CK:3 (5.0,9.0)",11:09:25,IRRADIANCIA (W/M2),767.4
"CK:3 (5.0,9.0)",11:09:25,eCO2 (PPM),427
"CK:3 (5.0,9.0)",11:09:25,TVOC (PPB),0
"CK:4 (9.8,5.0)",11:09:56,CO2 (PPM),553
"CK:4 (9.8,5.0)",11:09:56,TEMPERATURA (°C),25.7
"CK:4 (9.8,5.0)",11:09:56,HUMEDAD (%),54.88
"CK:4 (9.8,5.0)",11:09:56,IRRADIANCIA (W/M2),767.4
"CK:4 (9.8,5.0)",11:09:56,eCO2 (PPM),406
"CK:4 (9.8,5.0)",11:09:56,TVOC (PPB),0
"CK:4 (9.8,5.0)",11:10:10,CO2 (PPM),552
"CK:4 (9.8,5.0)",11:10:10,TEMPERATURA (°C),25.76
"CK:4 (9.8,5.0)",11:10:10,HUMEDAD (%),54.89
"CK:4 (9.8,5.0)",11:10:10,IRRADIANCIA (W/M2),767.4
"CK:4 (9.8,5.0)",11:10:10,eCO2 (PPM),417
"CK:4 (9.8,5.0)",11:10:10,TVOC (PPB),0
"CK:5 (4.9,0.1)",11:10:46,CO2 (PPM),552
"CK:5 (4.9,0.1)",11:10:46,TEMPERATURA (°C),25.79
"CK:5 (4.9,0.1)",11:10:46,HUMEDAD (%),54.76
"CK:5 (4.9,0.1)",11:10:46,IRRADIANCIA (W/M2),767.4
"CK:5 (4.9,0.1)",11:10:46,eCO2 (PPM),417
"CK:5 (4.9,0.1)",11:10:46,TVOC (PPB),0
"CK:5 (4.9,0.1)",11:10:59,CO2 (PPM),555
"CK:5 (4.9,0.1)",11:10:59,TEMPERATURA (°C),25.82
"CK:5 (4.9,0.1)",11:10:59,HUMEDAD (%),54.63
"CK:5 (4.9,0.1)",11:10:59,IRRADIANCIA (W/M2),767.4
"CK:5 (4.9,0.1)",11:10:59,eCO2 (PPM),418
"CK:5 (4.9,0.1)",11:10:59,TVOC (PPB),0
